sample,mouse.ID,Diet,Batch,age.wks,age.approx.wks,Age (month),Cage,Cohort,Age_bins,Age group
DO_40_2126_044w,DO-40-2126,40,77,44,44,10,5883,G26W2,6-12 months,8/10/16 months
DO_40_2126_175w,DO-40-2126,40,82,175,174,40,5883,G26W2,>=31 months,34+months
DO_40_2126_148w,DO-40-2126,40,82,148,148,34,5883,G26W2,>=31 months,34+months
DO_40_2126_096w,DO-40-2126,40,79,96,96,22,5883,G26W2,19-24 months,22/28 months
DO_40_2126_069w,DO-40-2126,40,78,69,69,16,5883,G26W2,13-18 months,8/10/16 months
DO_40_2126_120w,DO-40-2126,40,80,120,121,28,5883,G26W2,25-30 months,22/28 months
DO_1D_3016_069w,DO-1D-3016,1D,5,69,69,16,3311,G22W1,13-18 months,8/10/16 months
DO_1D_3016_044w,DO-1D-3016,1D,2,44,44,10,3311,G22W1,6-12 months,8/10/16 months
DO_1D_3016_038w,DO-1D-3016,1D,4,38,35,8,3311,G22W1,6-12 months,8/10/16 months
DO_20_1016_069w,DO-20-1016,20,5,69,69,16,3300,G22W1,13-18 months,8/10/16 months
