sample,mouse.ID,Diet,Batch,age.wks,age.approx.wks,Age (month),Cage,Cohort,Age_bins,Age group
DO_20_1187_044w,DO-20-1187,20,121,44,44,10,6534,G28W2,6-12 months,8/10/16 months
DO_20_1123_120w,DO-20-1123,20,80,120,121,28,5881,G26W2,25-30 months,22/28 months
DO_20_1123_148w,DO-20-1123,20,82,148,148,34,5881,G26W2,>=31 months,34+months
DO_20_1123_044w,DO-20-1123,20,77,44,44,10,5881,G26W2,6-12 months,8/10/16 months
DO_20_1123_096w,DO-20-1123,20,79,96,96,22,5881,G26W2,19-24 months,22/28 months
DO_20_1123_175w,DO-20-1123,20,82,175,174,40,5881,G26W2,>=31 months,34+months
DO_40_2034_044w,DO-40-2034,40,23,44,44,10,4108,G23W1,6-12 months,8/10/16 months
DO_40_2034_096w,DO-40-2034,40,27,96,96,22,4108,G23W1,19-24 months,22/28 months
DO_40_2034_069w,DO-40-2034,40,25,69,69,16,4108,G23W1,13-18 months,8/10/16 months
DO_40_2175_121w,DO-40-2175,40,116,121,121,28,6474,G28W1,25-30 months,22/28 months
DO_40_2175_021w,DO-40-2175,40,109,21,21,5,6474,G28W1,<=5 months,5 months
DO_40_2175_069w,DO-40-2175,40,114,69,69,16,6474,G28W1,13-18 months,8/10/16 months
DO_AL_0192_021w,DO-AL-0192,AL,118,21,21,5,6532,G28W2,<=5 months,5 months
DO_AL_0192_044w,DO-AL-0192,AL,121,44,44,10,6532,G28W2,6-12 months,8/10/16 months
DO_2D_4068_044w,DO-2D-4068,2D,50,44,44,10,4978,G24W1,6-12 months,8/10/16 months
DO_2D_4068_021w,DO-2D-4068,2D,48,21,21,5,4978,G24W1,<=5 months,5 months
DO_2D_4151_044w,DO-2D-4151,2D,100,44,44,10,6299,G27W2,6-12 months,8/10/16 months
DO_2D_4151_069w,DO-2D-4151,2D,101,69,69,16,6299,G27W2,13-18 months,8/10/16 months
DO_2D_4151_148w,DO-2D-4151,2D,107,148,148,34,6299,G27W2,>=31 months,34+months
DO_2D_4151_121w,DO-2D-4151,2D,106,121,121,28,6299,G27W2,25-30 months,22/28 months
DO_1D_3061_096w,DO-1D-3061,1D,43,96,96,22,4341,G23W2,19-24 months,22/28 months
DO_1D_3061_121w,DO-1D-3061,1D,45,121,121,28,4341,G23W2,25-30 months,22/28 months
DO_1D_3121_069w,DO-1D-3121,1D,78,69,69,16,5885,G26W2,13-18 months,8/10/16 months
DO_1D_3121_021w,DO-1D-3121,1D,76,21,21,5,5885,G26W2,<=5 months,5 months
DO_1D_3121_096w,DO-1D-3121,1D,79,96,96,22,5885,G26W2,19-24 months,22/28 months
DO_AL_0131_096w,DO-AL-0131,AL,91,96,96,22,6182,G27W1,19-24 months,22/28 months
DO_AL_0131_021w,DO-AL-0131,AL,83,21,21,5,6182,G27W1,<=5 months,5 months
DO_AL_0131_069w,DO-AL-0131,AL,88,69,69,16,6182,G27W1,13-18 months,8/10/16 months
